"Date","Price","Open","High","Low","Vol.","Change %"
"06/13/2025","5,976.97","6,000.56","6,026.16","5,963.21","","-1.13%"
"06/12/2025","6,045.26","6,009.90","6,045.43","6,003.88","","0.38%"
"06/11/2025","6,022.24","6,049.38","6,059.40","6,002.32","","-0.27%"
"06/10/2025","6,038.81","6,009.91","6,043.01","6,000.28","","0.55%"
"06/09/2025","6,005.88","6,004.63","6,021.31","5,994.18","","0.09%"
"06/06/2025","6,000.36","5,987.06","6,016.87","5,978.63","","1.03%"
"06/05/2025","5,939.30","5,985.67","5,999.70","5,921.20","","-0.53%"
"06/04/2025","5,970.81","5,978.94","5,990.48","5,966.11","","0.01%"
"06/03/2025","5,970.37","5,938.56","5,981.35","5,929.00","","0.58%"
"06/02/2025","5,935.94","5,896.68","5,937.40","5,861.43","","0.41%"
"05/30/2025","5,911.69","5,903.67","5,922.14","5,843.66","","-0.01%"
"05/29/2025","5,912.17","5,939.96","5,943.13","5,873.80","","0.40%"
"05/28/2025","5,888.55","5,925.54","5,939.92","5,881.88","","-0.56%"
"05/27/2025","5,921.54","5,854.07","5,924.33","5,854.07","","2.05%"
"05/23/2025","5,802.82","5,781.89","5,829.51","5,767.41","","-0.67%"
"05/22/2025","5,842.01","5,841.26","5,878.08","5,825.82","","-0.04%"
"05/21/2025","5,844.61","5,910.18","5,938.37","5,830.91","","-1.61%"
"05/20/2025","5,940.46","5,944.66","5,953.06","5,909.26","","-0.39%"
"05/19/2025","5,963.60","5,902.88","5,968.61","5,895.69","","0.09%"
"05/16/2025","5,958.38","5,929.09","5,958.62","5,907.36","","0.70%"
"05/15/2025","5,916.93","5,869.82","5,924.21","5,865.16","","0.41%"
"05/14/2025","5,892.58","5,896.74","5,906.55","5,872.11","","0.10%"